Order_ID,Order_Date,Category,Sub_Category,Region,City,Quantity,Discount,Sales,Profit
ORD-0029,2025-07-27,Technology,Laptops,South,Chennai,9,0.1,2164.62,339.4
ORD-0030,2025-01-22,Furniture,Furnishings,East,Patna,6,0.3,1784.07,74.62
ORD-0031,2025-10-04,Office Supplies,Storage,East,Bhubaneswar,1,0.2,108.88,5.35
ORD-0032,2025-01-17,Furniture,Furnishings,East,Kolkata,5,0.3,2928.09,111.05
ORD-0033,2025-10-29,Technology,Printers,North,Delhi,5,0.15,2514.91,195.05
ORD-0034,2025-05-08,Furniture,Bookcases,North,Jaipur,2,0.0,610.63,89.82
ORD-0035,2025-10-07,Office Supplies,Storage,West,Pune,2,0.05,244.89,28.73
ORD-0036,2025-06-25,Office Supplies,Paper,East,Bhubaneswar,7,0.2,503.97,30.44
ORD-0037,2025-11-12,Furniture,Tables,North,Delhi,7,0.0,3156.46,290.58
ORD-0038,2025-05-23,Furniture,Tables,West,Ahmedabad,2,0.05,601.53,82.43
ORD-0039,2025-03-04,Office Supplies,Storage,North,Chandigarh,6,0.15,615.54,20.99
ORD-0040,2025-09-21,Technology,Accessories,West,Mumbai,5,0.15,2313.16,148.48
ORD-0041,2025-12-16,Furniture,Furnishings,South,Hyderabad,3,0.2,1329.48,232.42
ORD-0042,2025-10-02,Office Supplies,Storage,North,Jaipur,7,0.05,1083.66,72.4
ORD-0043,2025-05-09,Office Supplies,Storage,East,Kolkata,1,0.3,54.95,5.3
ORD-0044,2025-07-11,Office Supplies,Paper,North,Delhi,5,0.3,527.94,52.32
ORD-0045,2025-03-27,Technology,Laptops,West,Ahmedabad,9,0.0,3086.09,410.27
ORD-0046,2025-12-07,Office Supplies,Paper,West,Pune,7,0.15,762.56,43.42
ORD-0047,2025-09-03,Furniture,Bookcases,South,Bengaluru,5,0.05,1329.69,224.58
ORD-0048,2025-01-04,Furniture,Chairs,West,Mumbai,8,0.05,2840.67,190.34
ORD-0049,2025-06-12,Furniture,Bookcases,West,Pune,1,0.2,523.97,61.0
ORD-0050,2025-02-13,Office Supplies,Labels,South,Chennai,2,0.2,76.02,1.98
ORD-0051,2025-03-31,Office Supplies,Paper,South,Hyderabad,2,0.05,237.61,42.99
ORD-0052,2025-10-04,Furniture,Chairs,West,Mumbai,9,0.15,1077.98,62.16
ORD-0053,2025-04-09,Office Supplies,Labels,East,Kolkata,4,0.3,694.65,48.98
ORD-0054,2025-08-05,Technology,Accessories,North,Jaipur,3,0.0,1070.48,154.38
ORD-0055,2025-12-08,Furniture,Furnishings,West,Mumbai,3,0.15,1002.11,125.25
ORD-0056,2025-01-25,Furniture,Chairs,North,Jaipur,4,0.1,1145.34,92.96
ORD-0057,2025-04-19,Office Supplies,Labels,North,Jaipur,5,0.05,453.18,62.34
ORD-0058,2025-08-27,Office Supplies,Storage,East,Bhubaneswar,9,0.05,1076.67,220.48
ORD-0059,2025-05-21,Office Supplies,Binders,East,Bhubaneswar,8,0.2,801.73,39.8
ORD-0060,2025-05-25,Furniture,Chairs,North,Chandigarh,7,0.0,2270.56,410.11
ORD-0061,2025-12-30,Furniture,Furnishings,East,Patna,6,0.1,1157.81,73.99
ORD-0062,2025-02-27,Furniture,Chairs,South,Bengaluru,4,0.15,1549.42,244.69
ORD-0063,2025-12-14,Office Supplies,Storage,North,Jaipur,9,0.0,533.56,62.97
ORD-0064,2025-11-13,Office Supplies,Labels,North,Delhi,5,0.3,422.73,55.88
ORD-0065,2025-01-20,Office Supplies,Labels,East,Patna,9,0.3,1940.24,48.63
ORD-0066,2025-05-24,Office Supplies,Binders,South,Chennai,7,0.0,959.43,226.04
ORD-0067,2025-06-05,Office Supplies,Labels,West,Pune,5,0.05,423.66,54.44
ORD-0068,2025-02-10,Technology,Printers,West,Mumbai,4,0.1,1422.38,232.83
ORD-0069,2025-08-08,Furniture,Chairs,North,Delhi,3,0.05,1133.72,86.81
ORD-0070,2025-04-29,Office Supplies,Storage,North,Delhi,8,0.0,1456.16,308.99
ORD-0071,2025-12-07,Furniture,Bookcases,North,Jaipur,9,0.1,2591.76,175.6
ORD-0072,2025-07-16,Technology,Accessories,South,Hyderabad,5,0.3,3224.78,419.99
ORD-0073,2025-03-24,Furniture,Chairs,North,Chandigarh,1,0.0,222.34,53.85
ORD-0074,2025-10-15,Furniture,Tables,North,Delhi,2,0.15,463.66,33.93
ORD-0075,2025-04-28,Technology,Laptops,South,Bengaluru,3,0.3,1907.22,266.16
ORD-0076,2025-04-22,Technology,Accessories,North,Delhi,7,0.2,3224.44,372.27
ORD-0077,2025-07-11,Office Supplies,Storage,East,Bhubaneswar,2,0.3,328.91,22.8
ORD-0078,2025-06-15,Technology,Laptops,West,Mumbai,1,0.15,173.0,13.52
ORD-0079,2025-05-18,Furniture,Chairs,North,Delhi,8,0.15,2787.02,294.18
ORD-0080,2025-05-06,Office Supplies,Paper,South,Hyderabad,3,0.0,433.85,68.64
ORD-0081,2025-07-14,Furniture,Bookcases,South,Hyderabad,3,0.2,1047.35,44.71
ORD-0082,2025-11-13,Technology,Phones,South,Bengaluru,6,0.2,2714.24,280.33
ORD-0083,2025-02-03,Furniture,Furnishings,South,Bengaluru,1,0.0,506.3,48.45
ORD-0084,2025-04-17,Furniture,Tables,East,Bhubaneswar,1,0.05,303.7,63.81
ORD-0085,2025-10-30,Technology,Accessories,North,Jaipur,8,0.3,6591.42,353.5
ORD-0086,2025-01-07,Office Supplies,Binders,East,Patna,3,0.3,320.85,32.87
ORD-0087,2025-08-15,Technology,Laptops,South,Bengaluru,3,0.2,967.04,39.64
ORD-0088,2025-05-06,Furniture,Chairs,East,Bhubaneswar,9,0.0,1845.21,255.19
ORD-0089,2025-04-19,Furniture,Tables,East,Kolkata,2,0.05,616.25,96.95
ORD-0090,2025-04-11,Furniture,Furnishings,East,Bhubaneswar,6,0.15,1257.39,172.65
ORD-0091,2025-08-17,Furniture,Furnishings,East,Kolkata,9,0.3,2358.46,87.52
ORD-0092,2025-11-14,Furniture,Tables,East,Bhubaneswar,8,0.0,2199.67,205.98
ORD-0093,2025-01-06,Furniture,Furnishings,North,Jaipur,2,0.3,767.47,108.03
ORD-0094,2025-07-13,Furniture,Tables,East,Bhubaneswar,8,0.05,2521.97,277.66
ORD-0095,2025-11-20,Office Supplies,Binders,South,Bengaluru,3,0.15,440.71,20.72
ORD-0096,2025-05-19,Furniture,Furnishings,South,Hyderabad,4,0.2,857.79,86.24
ORD-0097,2025-09-18,Technology,Laptops,West,Pune,7,0.05,1606.26,124.38
ORD-0098,2025-02-07,Technology,Phones,North,Delhi,7,0.1,3403.2,354.98
ORD-0099,2025-11-30,Office Supplies,Binders,West,Pune,5,0.15,635.64,58.46
ORD-0100,2025-11-24,Office Supplies,Labels,South,Hyderabad,9,0.2,1113.79,49.31
ORD-0101,2025-12-05,Technology,Phones,North,Delhi,4,0.05,2316.75,466.41
ORD-0102,2025-05-05,Furniture,Tables,West,Ahmedabad,6,0.0,724.42,150.02
ORD-0103,2025-11-05,Furniture,Chairs,North,Delhi,8,0.3,2603.29,350.85
ORD-0104,2025-04-21,Furniture,Furnishings,South,Chennai,1,0.15,139.3,21.39
ORD-0105,2025-04-07,Furniture,Chairs,South,Hyderabad,5,0.15,1239.15,154.13
ORD-0106,2025-04-28,Office Supplies,Storage,South,Hyderabad,6,0.2,817.74,23.56
ORD-0107,2025-06-06,Office Supplies,Labels,West,Ahmedabad,8,0.15,816.39,129.58
ORD-0108,2025-10-26,Technology,Accessories,East,Bhubaneswar,5,0.15,1814.79,105.93
ORD-0109,2025-10-30,Office Supplies,Binders,South,Chennai,8,0.15,1781.77,228.61
ORD-0110,2025-10-20,Technology,Printers,West,Mumbai,8,0.05,3762.82,728.53
ORD-0111,2025-01-29,Furniture,Chairs,South,Chennai,8,0.05,2123.41,435.54
ORD-0112,2025-02-24,Technology,Phones,North,Jaipur,3,0.2,1127.79,84.0
ORD-0113,2025-04-27,Office Supplies,Binders,West,Mumbai,9,0.05,1000.61,219.01
ORD-0114,2025-12-13,Technology,Laptops,East,Bhubaneswar,1,0.1,300.76,15.21
ORD-0115,2025-06-29,Office Supplies,Binders,West,Mumbai,6,0.05,538.99,34.89
ORD-0116,2025-06-26,Office Supplies,Storage,North,Delhi,4,0.3,632.19,76.69
ORD-0117,2025-09-14,Furniture,Furnishings,North,Jaipur,7,0.3,3092.03,30.53
ORD-0118,2025-05-24,Technology,Phones,North,Chandigarh,8,0.1,3184.68,178.88
ORD-0119,2025-04-23,Office Supplies,Storage,South,Bengaluru,2,0.15,373.7,21.83
ORD-0120,2025-06-11,Office Supplies,Storage,East,Bhubaneswar,1,0.15,119.25,20.3
ORD-0121,2025-09-04,Office Supplies,Labels,North,Delhi,3,0.2,450.93,50.12
ORD-0122,2025-04-07,Technology,Phones,East,Patna,8,0.05,2177.39,434.18
ORD-0123,2025-06-14,Office Supplies,Labels,West,Pune,6,0.05,554.38,35.87
ORD-0124,2025-04-22,Technology,Accessories,North,Jaipur,3,0.15,907.1,124.09
ORD-0125,2025-01-11,Office Supplies,Paper,East,Kolkata,2,0.15,212.34,28.37
ORD-0126,2025-02-22,Furniture,Tables,North,Chandigarh,3,0.15,869.5,167.96
ORD-0127,2025-04-30,Office Supplies,Paper,South,Bengaluru,7,0.1,741.3,97.94
ORD-0128,2025-12-25,Office Supplies,Binders,North,Delhi,9,0.3,1588.8,134.51
ORD-0129,2025-04-19,Furniture,Tables,South,Hyderabad,2,0.0,257.79,38.38
ORD-0130,2025-12-28,Furniture,Furnishings,East,Kolkata,6,0.2,2147.67,117.75
ORD-0131,2025-09-25,Technology,Accessories,West,Pune,9,0.0,7963.38,1203.99
ORD-0132,2025-11-06,Furniture,Tables,South,Bengaluru,1,0.1,277.35,16.74
ORD-0133,2025-10-23,Office Supplies,Paper,North,Jaipur,4,0.1,316.05,65.23
ORD-0134,2025-03-10,Furniture,Furnishings,South,Bengaluru,8,0.0,3285.06,413.54
ORD-0135,2025-12-03,Furniture,Bookcases,East,Patna,2,0.0,499.17,46.31
ORD-0136,2025-04-14,Office Supplies,Paper,North,Jaipur,9,0.1,1948.82,359.07
ORD-0137,2025-04-12,Office Supplies,Labels,East,Bhubaneswar,2,0.1,214.15,43.03
ORD-0138,2025-10-30,Technology,Laptops,North,Jaipur,8,0.1,2769.79,469.42
ORD-0139,2025-07-17,Office Supplies,Storage,North,Chandigarh,8,0.1,936.42,199.37
ORD-0140,2025-01-16,Office Supplies,Storage,West,Pune,7,0.0,351.68,38.93
ORD-0141,2025-12-01,Furniture,Tables,East,Bhubaneswar,5,0.05,1069.89,143.58
ORD-0142,2025-04-13,Office Supplies,Storage,South,Chennai,1,0.3,145.86,11.14
ORD-0143,2025-05-11,Technology,Printers,North,Chandigarh,5,0.15,258.15,32.22
ORD-0144,2025-07-29,Office Supplies,Labels,North,Chandigarh,1,0.2,174.52,20.02
ORD-0145,2025-02-03,Technology,Accessories,East,Bhubaneswar,7,0.1,2667.47,151.79
ORD-0146,2025-11-14,Technology,Phones,South,Hyderabad,5,0.15,1315.76,176.54
ORD-0147,2025-12-25,Office Supplies,Storage,North,Chandigarh,4,0.1,333.4,41.49
ORD-0148,2025-10-20,Technology,Laptops,West,Pune,9,0.0,5175.01,1214.87
ORD-0149,2025-12-10,Technology,Accessories,North,Delhi,4,0.3,2420.12,186.68
ORD-0150,2025-02-21,Office Supplies,Binders,North,Jaipur,4,0.1,444.05,50.3
ORD-0151,2025-11-26,Office Supplies,Binders,North,Jaipur,2,0.05,205.07,39.99
ORD-0152,2025-08-03,Furniture,Chairs,South,Chennai,1,0.0,289.07,68.72
ORD-0153,2025-06-27,Office Supplies,Paper,East,Bhubaneswar,2,0.1,170.08,14.14
ORD-0154,2025-03-09,Technology,Accessories,North,Delhi,5,0.05,2621.24,367.66
ORD-0155,2025-05-17,Furniture,Bookcases,West,Mumbai,3,0.2,1071.2,144.6
ORD-0156,2025-11-24,Technology,Printers,East,Bhubaneswar,5,0.05,3103.34,474.94
ORD-0157,2025-03-22,Office Supplies,Labels,North,Delhi,2,0.2,40.0,6.56
ORD-0158,2025-08-25,Furniture,Furnishings,South,Chennai,1,0.3,208.63,13.27
ORD-0159,2025-02-28,Office Supplies,Labels,North,Jaipur,9,0.2,638.16,80.17
ORD-0160,2025-05-13,Furniture,Tables,West,Ahmedabad,9,0.1,1998.32,388.56
ORD-0161,2025-06-07,Technology,Printers,East,Kolkata,7,0.3,3556.46,368.55
ORD-0162,2025-02-15,Technology,Laptops,West,Mumbai,1,0.0,388.05,72.72
ORD-0163,2025-06-12,Technology,Printers,West,Mumbai,6,0.15,3821.14,516.03
ORD-0164,2025-11-20,Office Supplies,Paper,South,Bengaluru,1,0.15,110.07,4.29
ORD-0165,2025-04-30,Furniture,Chairs,South,Bengaluru,2,0.2,677.09,9.32
ORD-0166,2025-02-27,Technology,Accessories,West,Ahmedabad,7,0.05,2570.3,230.09
ORD-0167,2025-02-08,Furniture,Furnishings,North,Jaipur,7,0.05,1701.19,329.83
ORD-0168,2025-12-03,Technology,Accessories,East,Patna,8,0.15,4705.15,714.32
ORD-0169,2025-05-27,Office Supplies,Paper,East,Bhubaneswar,9,0.05,381.92,81.92
ORD-0170,2025-10-08,Technology,Phones,East,Kolkata,8,0.15,2886.0,355.46
ORD-0171,2025-05-25,Furniture,Bookcases,West,Pune,5,0.05,1416.71,271.83
ORD-0172,2025-01-24,Furniture,Furnishings,West,Mumbai,3,0.15,526.21,85.73
ORD-0173,2025-08-24,Furniture,Tables,East,Kolkata,4,0.0,629.53,67.57
ORD-0174,2025-12-10,Office Supplies,Paper,North,Chandigarh,8,0.1,853.79,181.29
ORD-0175,2025-11-16,Technology,Phones,South,Bengaluru,2,0.1,1678.77,273.89
ORD-0176,2025-08-02,Office Supplies,Binders,North,Jaipur,3,0.0,297.52,36.04
ORD-0177,2025-03-27,Office Supplies,Labels,East,Bhubaneswar,4,0.05,678.81,80.1
ORD-0178,2025-03-18,Furniture,Chairs,North,Delhi,4,0.05,922.5,119.9
ORD-0179,2025-05-02,Technology,Accessories,South,Bengaluru,2,0.2,1010.85,131.51
ORD-0180,2025-08-11,Technology,Laptops,North,Jaipur,9,0.05,4238.22,938.7
ORD-0181,2025-04-21,Office Supplies,Labels,South,Bengaluru,7,0.3,1031.51,117.53
ORD-0182,2025-07-07,Furniture,Bookcases,East,Kolkata,2,0.3,1015.07,77.0
ORD-0183,2025-05-02,Office Supplies,Paper,North,Jaipur,3,0.1,425.88,30.87
ORD-0184,2025-12-18,Technology,Accessories,South,Hyderabad,8,0.0,2877.14,471.44
ORD-0185,2025-04-03,Technology,Accessories,East,Kolkata,6,0.05,3731.04,704.27
ORD-0186,2025-01-20,Furniture,Furnishings,West,Pune,8,0.05,2306.98,484.22
ORD-0187,2025-12-20,Furniture,Furnishings,South,Hyderabad,4,0.1,514.16,47.95
ORD-0188,2025-02-09,Furniture,Bookcases,North,Chandigarh,5,0.0,1199.3,122.77
ORD-0189,2025-10-25,Office Supplies,Labels,South,Chennai,2,0.2,267.2,22.53
ORD-0190,2025-08-19,Technology,Phones,East,Bhubaneswar,9,0.15,3636.81,466.61
ORD-0191,2025-01-28,Technology,Accessories,North,Delhi,2,0.15,1440.78,277.16
ORD-0192,2025-04-28,Furniture,Bookcases,South,Chennai,9,0.0,4153.04,649.55
ORD-0193,2025-03-05,Furniture,Furnishings,North,Delhi,6,0.2,2333.66,333.49
ORD-0194,2025-07-26,Office Supplies,Labels,West,Ahmedabad,6,0.15,1028.07,122.63
ORD-0195,2025-10-20,Technology,Laptops,South,Hyderabad,4,0.1,1893.98,230.83
ORD-0196,2025-06-28,Office Supplies,Paper,North,Delhi,4,0.2,399.75,36.61
ORD-0197,2025-11-02,Office Supplies,Binders,South,Hyderabad,9,0.1,496.19,63.56
ORD-0198,2025-10-28,Office Supplies,Labels,East,Bhubaneswar,4,0.05,564.58,54.66
ORD-0199,2025-09-21,Office Supplies,Binders,North,Delhi,6,0.05,671.95,117.58
ORD-0200,2025-04-24,Office Supplies,Storage,South,Bengaluru,2,0.0,258.26,57.14
ORD-0201,2025-11-24,Office Supplies,Paper,West,Ahmedabad,9,0.1,1497.89,306.99
ORD-0202,2025-03-31,Office Supplies,Labels,North,Delhi,2,0.05,339.71,56.17
ORD-0203,2025-06-25,Technology,Phones,North,Delhi,9,0.1,3678.66,714.94
ORD-0204,2025-01-19,Furniture,Tables,West,Pune,6,0.05,1480.16,284.32
ORD-0205,2025-05-09,Office Supplies,Storage,North,Jaipur,8,0.2,1289.14,84.03
ORD-0206,2025-11-12,Furniture,Bookcases,East,Kolkata,9,0.0,1438.61,173.18
ORD-0207,2025-09-24,Furniture,Furnishings,South,Bengaluru,3,0.05,1042.1,147.24
ORD-0208,2025-04-27,Furniture,Tables,West,Pune,9,0.15,1708.69,90.27
ORD-0209,2025-02-12,Furniture,Bookcases,West,Ahmedabad,7,0.1,2537.14,338.99
ORD-0210,2025-04-27,Office Supplies,Storage,East,Patna,9,0.15,1402.59,259.61
ORD-0211,2025-10-02,Technology,Phones,North,Chandigarh,2,0.2,1022.98,59.77
ORD-0212,2025-05-16,Technology,Accessories,West,Ahmedabad,4,0.3,1100.68,106.49
ORD-0213,2025-12-16,Technology,Printers,South,Hyderabad,7,0.2,2081.46,86.13
ORD-0214,2025-10-25,Technology,Phones,South,Hyderabad,8,0.15,4294.31,428.01
ORD-0215,2025-12-28,Technology,Laptops,North,Delhi,7,0.15,3422.87,226.85
ORD-0216,2025-05-01,Technology,Laptops,West,Pune,8,0.0,6435.57,773.99
ORD-0217,2025-04-10,Office Supplies,Binders,West,Ahmedabad,7,0.15,641.99,33.99
ORD-0218,2025-04-18,Furniture,Chairs,East,Kolkata,2,0.0,658.59,76.95
ORD-0219,2025-06-09,Technology,Printers,North,Jaipur,9,0.3,6118.83,-5.5
ORD-0220,2025-11-19,Technology,Accessories,North,Chandigarh,6,0.2,1107.38,146.16
ORD-0221,2025-01-19,Office Supplies,Storage,West,Pune,4,0.2,575.59,13.53
ORD-0222,2025-03-14,Technology,Phones,West,Ahmedabad,8,0.0,5651.78,669.91
ORD-0223,2025-11-12,Furniture,Furnishings,North,Delhi,2,0.2,490.61,27.52
ORD-0224,2025-02-27,Furniture,Bookcases,South,Hyderabad,3,0.3,964.71,85.68
ORD-0225,2025-10-18,Office Supplies,Binders,South,Hyderabad,2,0.3,76.11,5.37
ORD-0226,2025-10-30,Office Supplies,Paper,North,Jaipur,9,0.05,842.26,66.48
ORD-0227,2025-05-16,Furniture,Furnishings,West,Mumbai,4,0.15,219.06,42.3
ORD-0228,2025-05-01,Technology,Printers,West,Mumbai,5,0.15,1856.8,247.9
ORD-0229,2025-09-29,Technology,Accessories,West,Mumbai,6,0.2,2425.19,172.73
ORD-0230,2025-11-27,Technology,Accessories,North,Delhi,3,0.15,1157.3,86.85
ORD-0231,2025-05-23,Office Supplies,Binders,East,Bhubaneswar,6,0.15,217.53,40.4
ORD-0232,2025-06-07,Technology,Laptops,North,Jaipur,8,0.05,5135.11,1078.73
ORD-0233,2025-03-14,Office Supplies,Labels,East,Bhubaneswar,5,0.05,749.58,63.74
ORD-0234,2025-11-17,Office Supplies,Labels,East,Bhubaneswar,6,0.3,750.3,3.54
ORD-0235,2025-05-21,Furniture,Chairs,South,Hyderabad,5,0.15,1468.23,74.11
ORD-0236,2025-01-31,Office Supplies,Labels,West,Mumbai,4,0.05,303.32,33.28
ORD-0237,2025-09-11,Office Supplies,Labels,North,Jaipur,2,0.1,158.81,22.39
ORD-0238,2025-09-24,Technology,Phones,South,Bengaluru,2,0.2,1031.41,118.94
ORD-0239,2025-04-09,Technology,Accessories,East,Kolkata,5,0.1,1960.81,147.49
ORD-0240,2025-02-09,Office Supplies,Paper,West,Ahmedabad,1,0.2,90.32,10.35
ORD-0241,2025-08-19,Technology,Printers,West,Pune,2,0.1,469.43,54.17
ORD-0242,2025-05-13,Office Supplies,Paper,North,Chandigarh,7,0.05,773.92,65.97
ORD-0243,2025-05-18,Furniture,Tables,East,Kolkata,7,0.0,2180.0,294.29
ORD-0244,2025-12-04,Office Supplies,Paper,North,Delhi,5,0.2,365.09,6.3
ORD-0245,2025-07-10,Furniture,Chairs,West,Ahmedabad,5,0.15,873.64,60.19
ORD-0246,2025-02-11,Office Supplies,Storage,North,Delhi,5,0.05,591.58,126.69
ORD-0247,2025-05-09,Office Supplies,Paper,West,Mumbai,2,0.05,105.67,23.32
ORD-0248,2025-09-04,Technology,Printers,North,Jaipur,2,0.1,771.88,93.8
ORD-0249,2025-12-10,Technology,Phones,West,Ahmedabad,3,0.0,1064.45,220.19
ORD-0250,2025-06-01,Office Supplies,Storage,West,Ahmedabad,1,0.2,116.82,11.27
ORD-0251,2025-07-30,Furniture,Bookcases,South,Chennai,7,0.05,1651.0,130.8
ORD-0252,2025-02-07,Office Supplies,Labels,West,Pune,1,0.0,170.17,41.85
ORD-0253,2025-11-20,Office Supplies,Storage,North,Chandigarh,9,0.3,1252.33,159.41
ORD-0254,2025-09-15,Technology,Printers,West,Ahmedabad,6,0.2,4745.93,517.36
ORD-0255,2025-01-11,Office Supplies,Labels,West,Pune,1,0.15,76.12,7.12
ORD-0256,2025-06-21,Technology,Printers,South,Hyderabad,3,0.3,420.9,-9.61
ORD-0257,2025-04-29,Office Supplies,Binders,West,Pune,7,0.2,1086.24,191.53
ORD-0258,2025-08-24,Office Supplies,Binders,East,Patna,6,0.3,514.96,73.33
ORD-0259,2025-09-15,Office Supplies,Paper,North,Chandigarh,5,0.1,770.66,54.42
ORD-0260,2025-07-08,Technology,Laptops,East,Kolkata,1,0.1,541.02,51.71
ORD-0261,2025-04-18,Furniture,Chairs,South,Chennai,9,0.05,2111.85,332.34
ORD-0262,2025-04-14,Office Supplies,Labels,North,Jaipur,3,0.05,420.24,73.24
ORD-0263,2025-08-19,Technology,Phones,West,Pune,2,0.15,1276.94,148.9
ORD-0264,2025-01-14,Office Supplies,Binders,South,Hyderabad,9,0.05,849.5,162.66
ORD-0265,2025-03-11,Office Supplies,Labels,East,Patna,8,0.2,600.06,71.63
ORD-0266,2025-10-20,Office Supplies,Binders,East,Bhubaneswar,6,0.2,721.47,7.45
ORD-0267,2025-09-17,Technology,Laptops,South,Bengaluru,9,0.15,2002.34,228.7
ORD-0268,2025-02-24,Office Supplies,Paper,West,Pune,4,0.15,200.91,7.33
ORD-0269,2025-06-08,Furniture,Tables,South,Chennai,3,0.3,642.27,59.87
ORD-0270,2025-12-22,Office Supplies,Binders,South,Hyderabad,3,0.2,359.57,12.61
ORD-0271,2025-11-15,Technology,Accessories,North,Chandigarh,4,0.3,2287.05,192.65
ORD-0272,2025-07-17,Furniture,Furnishings,West,Ahmedabad,7,0.0,2748.43,663.89
ORD-0273,2025-02-19,Technology,Printers,North,Chandigarh,3,0.0,1100.63,261.99
ORD-0274,2025-10-29,Office Supplies,Storage,South,Chennai,3,0.2,457.2,70.01
ORD-0275,2025-07-11,Technology,Phones,North,Chandigarh,5,0.3,2966.01,292.89
ORD-0276,2025-04-10,Furniture,Chairs,West,Mumbai,6,0.0,2699.66,288.9
ORD-0277,2025-03-25,Furniture,Furnishings,North,Jaipur,8,0.15,2132.03,74.79
ORD-0278,2025-08-08,Technology,Accessories,East,Patna,8,0.05,3576.92,388.92
ORD-0279,2025-03-11,Office Supplies,Binders,North,Delhi,9,0.15,881.14,117.06
ORD-0280,2025-01-07,Furniture,Chairs,West,Pune,6,0.05,1791.17,334.98
ORD-0281,2025-06-03,Furniture,Furnishings,East,Patna,8,0.05,3143.07,719.84
ORD-0282,2025-11-01,Technology,Accessories,South,Hyderabad,3,0.1,915.69,192.52
ORD-0283,2025-06-10,Furniture,Chairs,North,Delhi,2,0.0,472.46,106.12
ORD-0284,2025-03-02,Furniture,Chairs,West,Mumbai,2,0.15,942.16,141.68
ORD-0285,2025-04-08,Technology,Laptops,North,Delhi,6,0.05,3221.0,292.09
ORD-0286,2025-11-26,Office Supplies,Labels,North,Chandigarh,2,0.1,203.44,31.67
ORD-0287,2025-02-28,Furniture,Furnishings,East,Bhubaneswar,3,0.15,696.52,83.67
ORD-0288,2025-08-20,Office Supplies,Labels,South,Chennai,5,0.3,432.17,1.07
ORD-0289,2025-10-11,Technology,Phones,North,Chandigarh,1,0.0,589.09,86.26
ORD-0290,2025-03-30,Office Supplies,Storage,West,Ahmedabad,2,0.1,233.46,41.29
ORD-0291,2025-01-08,Office Supplies,Labels,West,Pune,8,0.2,1386.93,163.49
ORD-0292,2025-04-14,Office Supplies,Storage,East,Bhubaneswar,2,0.05,180.59,25.03
ORD-0293,2025-12-31,Furniture,Tables,East,Patna,3,0.2,1701.26,228.9
ORD-0294,2025-09-03,Office Supplies,Paper,West,Pune,3,0.0,383.03,82.97
ORD-0295,2025-04-19,Furniture,Furnishings,North,Jaipur,7,0.05,2370.13,215.0
ORD-0296,2025-05-08,Office Supplies,Storage,East,Patna,5,0.0,470.59,45.09
ORD-0297,2025-05-13,Technology,Printers,South,Bengaluru,3,0.15,1509.93,277.22
